Organization Name,ORG_CITY,ORG_STATE/ORG_COUNTRY,FY12,FY13,Institution type
AMHERST COLLEGE,AMHERST,MASSACHUSETTS,55.5,55.5,Higher Ed
NORTHEASTERN UNIVERSITY,BOSTON,MASSACHUSETTS,55.5,55.5,Higher Ed
RICE UNIVERSITY,HOUSTON,TEXAS,52.5,55.5,Higher Ed
TEXAS HEART INSTITUTE,HOUSTON,TEXAS,55.5,55.5,NP res inst
UNIVERSITY OF CALIFORNIA BERKELEY,BERKELEY,CALIFORNIA,53.5,55.5,Higher Ed
FAYETTEVILLE STATE UNIVERSITY,FAYETTEVILLE,NORTH CAROLINA,55.4,55.4,Higher Ed
NORTHWESTERN HEALTH SCIENCES UNIVERSITY,BLOOMINGTON,MINNESOTA,55.3,55.3,Higher Ed
SIMON FRASER UNIVERSITY,BURNABY,CANADA,55.3,55.3,Higher Ed
UNIVERSITY OF CALIFORNIA SAN DIEGO,LA JOLLA,CALIFORNIA,54.5,55,Higher Ed
AMERICAN PSYCHIATRIC FOUNDATION,ARLINGTON,VIRGINIA,55,55,NP res inst
ALBANY COLLEGE OF PHARMACY,ALBANY,NEW YORK,55,55,Higher Ed
